date,value
2020-07-29,387.21
2020-07-30,394.7
2020-07-31,377.7
2020-08-01,373.99
2020-08-02,382.84
2020-08-03,387.6
2020-08-04,382.53
2020-08-05,383.66
2020-08-06,384.04
2020-08-07,383.03
2020-08-08,378.65
2020-08-09,379.19
2020-08-10,378.45
2020-08-11,376.29
2020-08-12,376.03
2020-08-13,363.07
2020-08-14,352.38
2020-08-15,361.36
2020-08-16,352.98
2020-08-17,352.38
2020-08-18,353.32
2020-08-19,351.81
2020-08-20,345.86
2020-08-21,333.95
2020-08-22,323.71
2020-08-23,318.53
2020-08-24,330.32
2020-08-25,329.63
2020-08-26,334.12
2020-08-27,336.29
2020-08-28,334.74
2020-08-29,322.67
2020-08-30,331.42
2020-08-31,328.91
2020-09-01,320.03
2020-09-02,320.27
2020-09-03,314.81
2020-09-04,320.19
2020-09-05,320.44
2020-09-06,315.84
2020-09-07,315.15
2020-09-08,287.23
2020-09-09,278.34
2020-09-10,287.55
2020-09-11,298.75
2020-09-12,294.13
2020-09-13,291.11
2020-09-14,288.13
2020-09-15,279.64
2020-09-16,272.2
2020-09-17,268.28
2020-09-18,223.89
2020-09-19,229.07
2020-09-20,221.59
2020-09-21,211.73
2020-09-22,218.69
2020-09-23,216.73
2020-09-24,215.24
2020-09-25,227.79
2020-09-26,237.02
2020-09-27,234.84
2020-09-28,248.21
2020-09-29,255.07
2020-09-30,309.38
2020-10-01,275.48
2020-10-02,266.54
2020-10-03,238.71
2020-10-04,242.85
2020-10-05,233.5
2020-10-06,231.57
2020-10-07,242.18
2020-10-08,245.96
2020-10-09,230.06
2020-10-10,239.41
2020-10-11,230.51
2020-10-12,230.3
2020-10-13,229.44
2020-10-14,223.98
2020-10-15,221.81
2020-10-16,223.41
2020-10-17,222.2
2020-10-18,240.26
2020-10-19,259.81
2020-10-20,265.61
2020-10-21,239.52
2020-10-22,245.78
2020-10-23,244.25
2020-10-24,242.67
2020-10-25,247.1
2020-10-26,255.32
2020-10-27,246.39
2020-10-28,240.11
2020-10-29,239.9
2020-10-30,239.34
2020-10-31,237.71
2020-11-01,256.65
2020-11-02,254.69
2020-11-03,261.66
2020-11-04,276.3
2020-11-05,285.8
2020-11-06,284.23
2020-11-07,281.67
2020-11-08,277.61
2020-11-09,277.85
2020-11-10,277.86
2020-11-11,292.7
2020-11-12,300.04
2020-11-13,297.39
2020-11-14,297.09
2020-11-15,294.5
2020-11-16,286.34
2020-11-17,286.53
2020-11-18,294.11
2020-11-19,292.37
2020-11-20,285.34
2020-11-21,264.24
2020-11-22,264.85
2020-11-23,262.2
2020-11-24,269.75
2020-11-25,277.3
2020-11-26,267
2020-11-27,249.19
2020-11-28,254.35
2020-11-29,256.81
2020-11-30,254.21
2020-12-01,253.14
2020-12-02,249.24
2020-12-03,248.73
2020-12-04,247.54
2020-12-05,254.46
2020-12-06,256.04
2020-12-07,255.26
2020-12-08,260.68
2020-12-09,261.8
2020-12-10,255.81
2020-12-11,253.85
2020-12-12,246.12
2020-12-13,243.69
2020-12-14,239.54
2020-12-15,237.73
2020-12-16,236.94
2020-12-17,224.98
2020-12-18,223.83
2020-12-19,229.67
2020-12-20,228.91
2020-12-21,224.32
2020-12-22,226.35
2020-12-23,226.35
2020-12-24,235.27
2020-12-25,237.91
2020-12-26,236.47
2020-12-27,236.31
2020-12-28,232.56
2020-12-29,226.94
2020-12-30,233.31
2020-12-31,229.5
2021-01-01,227.04
2021-01-02,239.56
2021-01-03,238.97
2021-01-04,235.73
2021-01-05,243.24
2021-01-06,242.64
2021-01-07,239.2
2021-01-08,236.45
2021-01-09,239.1
2021-01-10,246.28
2021-01-11,247.8
2021-01-12,244.07
2021-01-13,244.27
2021-01-14,242.88
2021-01-15,243.7
2021-01-16,237.8
2021-01-17,238.75
2021-01-18,237.7
2021-01-19,238.03
2021-01-20,237.21
2021-01-21,234.15
2021-01-22,234.68
2021-01-23,236.24
2021-01-24,240.97
2021-01-25,241.03
2021-01-26,241.98
2021-01-27,241.02
2021-01-28,238.24
2021-01-29,238.64
2021-01-30,237.82
2021-01-31,237.52
2021-02-01,237.09
2021-02-02,233.25
2021-02-03,231.71
2021-02-04,226.42
2021-02-05,227.4
2021-02-06,226.58
2021-02-07,225.97
2021-02-08,225.72
2021-02-09,226.19
2021-02-10,229.46
2021-02-11,230.95
2021-02-12,229.78
2021-02-13,230.29
2021-02-14,231.06
2021-02-15,232.65
2021-02-16,234.86
2021-02-17,237.84
2021-02-18,251.74
2021-02-19,256.85
2021-02-20,252.11
2021-02-21,250.98
2021-02-22,245.83
2021-02-23,245.22
2021-02-24,247.92
2021-02-25,247.3
2021-02-26,244.34
2021-02-27,243.33
2021-02-28,243.75
2021-03-01,251.34
2021-03-02,251.17
2021-03-03,257.17
2021-03-04,267.87
2021-03-05,265.17
2021-03-06,261.63
2021-03-07,257.08
2021-03-08,261.46
2021-03-09,274.51
2021-03-10,277.42
2021-03-11,271.34
2021-03-12,272.97
2021-03-13,272.33
2021-03-14,294.59
2021-03-15,298.51
2021-03-16,314.39
2021-03-17,310.95
2021-03-18,296.15
2021-03-19,293.25
2021-03-20,291.18
2021-03-21,280.28
2021-03-22,282.53
2021-03-23,275.67
2021-03-24,278.98
2021-03-25,280.55
2021-03-26,277.67
2021-03-27,278.11
2021-03-28,289.25
2021-03-29,290.73
2021-03-30,293.05
2021-03-31,297.77
2021-04-01,296.65
2021-04-02,294.54
2021-04-03,290.13
2021-04-04,288.96
2021-04-05,284.93
2021-04-06,283.03
2021-04-07,285.47
2021-04-08,285.71
2021-04-09,285.5
2021-04-10,281.91
2021-04-11,280.39
2021-04-12,279.93
2021-04-13,267
2021-04-14,267.03
2021-04-15,270.39
2021-04-16,270.67
2021-04-17,266.23
2021-04-18,267.47
2021-04-19,266.67
2021-04-20,262.44
2021-04-21,260.5
2021-04-22,257.99
2021-04-23,237.41
2021-04-24,237.37
2021-04-25,236.43
2021-04-26,234.96
2021-04-27,232.71
2021-04-28,228.14
2021-04-29,226.32
2021-04-30,231.18
2021-05-01,228.64
